from,to ,relation
JL,S65,1
JL,TTP,1
JL,EA,1
JL,CA,1
JL,USC,1
MT,RCC,1
MT,VLC,1
MT,VZ,1
MT,LCVB,1
MT,SAP,1
MT,VCM,1
ET,TTP,1
ET,AA,1
ET,ETW,1
ET,LBA,1
HK,OS,1
HK,BS,1
HK,VfBU,1
IV,RCC,1
IV,AK,1
IV,IBF,1
IV,CL,1
IV,RRV,1
IV,CSM,1
JN,GBL,1
JN,BKS,1
JN,KS,1
JN,SMS,1
SL,KAF,1
SL,B,1
SL,IVC,1
SL,PSU,1
MP,BVMB,1
MP,DSC,1
MP,BSBC,1
MP,STM,1
MP,DIT,1
MP,GHO,1
MP,CVB,1
HJ,VfBSLT,1
HJ,VCS,1
HD,MTVII,1
HD,BS,1
KR,UOA,1
KR,BA,1
KR,LBMNE,1
LB,FVTM,1
LB,BSP,1
LB,VCO,1
RK,OK,1
RK,LPV,1
RK,LPK,1
RK,HL,1
RK,K,1
RK,SP,1
LG,EJMTV,1
LG,BS,1
JL,NED,2
MT,BUL,2
ET,NED,2
HK,GER,2
IV,BEL,2
JN,POL,2
SL,USA,2
MP,ESP,2
HJ,NED,2
HD,GER,2
KR,USA,2
LB,GER,2
RK,FIN,2
LG,GER,2